M154;(OSTEO)ARTROSIS EROSIVA|
S750;TRAUMATISMO DE LA ARTERIA FEMORAL|
S251;TRAUMATISMO DE LA ARTERIA INNOMINADA O SUBCLAVIA|
S852;TRAUMATISMO DE LA ARTERIA PERONEA|
S951;TRAUMATISMO DE LA ARTERIA PLANTAR DEL PIE|
S850;TRAUMATISMO DE LA ARTERIA POPLITEA|
S651;TRAUMATISMO DE LA ARTERIA RADIAL A NIVEL DE LA MUÑECA Y DE LA MANO|
S551;TRAUMATISMO DE LA ARTERIA RADIAL A NIVEL DEL ANTEBRAZO|
S851;TRAUMATISMO DE LA ARTERIA TIBIAL (ANTERIOR) (POSTERIOR)|
S151;TRAUMATISMO DE LA ARTERIA VERTEBRAL|
S099;TRAUMATISMO DE LA CABEZA, NO ESPECIFICADO|
S343;TRAUMATISMO DE LA COLA DE CABALLO|
S050;TRAUMATISMO DE LA CONJUNTIVA Y ABRASION CORNEAL SIN MENCION DE CUERPO EXTRAÑO|
S752;TRAUMATISMO DE LA GRAN VENA SAFENA A NIVEL DE LA CADERA Y DEL MUSLO|
S853;TRAUMATISMO DE LA GRAN VENA SAFENA A NIVEL DE LA PIERNA|
T093;TRAUMATISMO DE LA MEDULA ESPINAL, NIVEL NO ESPECIFICADO|
S899;TRAUMATISMO DE LA PIERNA, NO ESPECIFICADO|
S276;TRAUMATISMO DE LA PLEURA|
S275;TRAUMATISMO DE LA TRAQUEA TORACICA|
S375;TRAUMATISMO DE LA TROMPA DE FALOPIO|
S373;TRAUMATISMO DE LA URETRA|
S372;TRAUMATISMO DE LA VEJIGA|
S452;TRAUMATISMO DE LA VENA AXILAR O BRAQUIAL|
S351;TRAUMATISMO DE LA VENA CAVA INFERIOR|
S952;TRAUMATISMO DE LA VENA DORSAL DEL PIE|
S751;TRAUMATISMO DE LA VENA FEMORAL A NIVEL DE LA CADERA Y DEL MUSLO|
S253;TRAUMATISMO DE LA VENA INNOMINADA O SUBCLAVIA|
S855;TRAUMATISMO DE LA VENA POPLITEA|
S854;TRAUMATISMO DE LA VENA SAFENA EXTERNA A NIVEL DE LA PIERNA|
S152;TRAUMATISMO DE LA VENA YUGULAR EXTERNA|
S153;TRAUMATISMO DE LA VENA YUGULAR INTERNA|
S274;TRAUMATISMO DE LOS BRONQUIOS|
P155;TRAUMATISMO DE LOS GENITALES EXTERNOS DURANTE EL NACIMIENTO|
S090;TRAUMATISMO DE LOS VASOS SANGUINEOS DE LA CABEZA NO CLASIFICADOS EN OTRA PARTE|
S647;TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DE LA MUÑECA Y DE LA MANO|
S547;TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DEL ANTEBRAZO|
S447;TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO|
S947;TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DEL PIE Y DEL TOBILLO|
S367;TRAUMATISMO DE MULTIPLES ORGANOS INTRAABDOMINALES|
S377;TRAUMATISMO DE MULTIPLES ORGANOS PELVICOS|
S767;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DE LA CADERA Y DEL MUSLO|
S867;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DE LA PIERNA|
S567;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DEL ANTEBRAZO|
S467;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DEL HOMBRO Y DEL BRAZO|
S967;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DEL PIE Y DEL TOBILLO|
S667;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS EXTENSOS A NIVEL DE LA MUÑECA Y DE LA MANO|
S666;TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS FLEXORES A NIVEL DE LA MUÑECA Y DE LA MANO|
S757;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DE LA CADERA Y DEL MUSLO|
S657;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DE LA MUÑECA Y DE LA MANO|
S357;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVI|
S557;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO|
S157;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL CUELLO|
S457;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO|
S957;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL PIE Y DEL TOBILLO|
S257;TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS DEL TORAX|
S749;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA CADERA Y DEL MUSLO|
S649;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA MUÑECA Y DE LA MANO|
S849;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA PIERNA|
S549;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DEL ANTEBRAZO|
S449;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DEL HOMBRO Y DEL BRAZO|
S949;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DEL PIE Y DEL TOBILLO|
T113;TRAUMATISMO DE NERVIO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO|
S246;TRAUMATISMO DE NERVIO NO ESPECIFICADO DEL TORAX|
S943;TRAUMATISMO DE NERVIO SENSORIAL CUTANEO A NIVEL DEL PIE Y DEL TOBILLO|
T144;TRAUMATISMO DE NERVIO(S) DE REGION NO ESPECIFICADA DEL CUERPO|
S346;TRAUMATISMO DE NERVIO(S) PERIFERICO(S) DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS|
S145;TRAUMATISMO DE NERVIOS CERVICALES SIMPATICOS|
S049;TRAUMATISMO DE NERVIOS CRANEALES, NO ESPECIFICADO|
S747;TRAUMATISMO DE NERVIOS MULTIPLES A NIVEL DE LA CADERA Y DEL MUSLO|
S847;TRAUMATISMO DE NERVIOS MULTIPLES A NIVEL DE LA PIERNA|
T133;TRAUMATISMO DE NERVIOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO|
S144;TRAUMATISMO DE NERVIOS PERIFERICOS DEL CUELLO|
S243;TRAUMATISMO DE NERVIOS PERIFERICOS DEL TORAX|
S244;TRAUMATISMO DE NERVIOS SIMPATICOS TORACICOS|
S345;TRAUMATISMO DE NERVIOS(S) SIMPATICO(S) LUMBAR(ES), SACRO(S) Y PELVICO(S)|
T094;TRAUMATISMO DE NERVIOS, RAIZ DE NERVIO ESPINAL Y PLEXOS DEL TRONCO NO ESPECIFICADOS|
S369;TRAUMATISMO DE ORGANO INTRAABDOMINAL NO ESPECIFICADO|
S279;TRAUMATISMO DE ORGANO INTRATORACICO, NO ESPECIFICADO|
S379;TRAUMATISMO DE ORGANO PELVICO NO ESPECIFICADO|
S396;TRAUMATISMO DE ORGANO(S) INTRAABDOMINAL(ES) CON ORGANO(S) PELVICO(S)|
S565;TRAUMATISMO DE OTRO TENDON Y MUSCULO EXTENSOR A NIVEL DEL ANTEBRAZO|
S562;TRAUMATISMO DE OTRO TENDON Y MUSCULO FLEXOR A NIVEL DEL ANTEBRAZO|
S861;TRAUMATISMO DE OTRO(S) TENDON(ES) Y MUSCULO(S) DEL GRUPO MUSCULAR POSTERIOR A NIVEL DE LA PIERNA|
P133;TRAUMATISMO DE OTROS HUESOS LARGOS DURANTE EL NACIMIENTO|
S748;TRAUMATISMO DE OTROS NERVIOS A NIVEL DE LA CADERA Y DEL MUSLO|
S648;TRAUMATISMO DE OTROS NERVIOS A NIVEL DE LA MUÑECA Y DE LA MANO|
S848;TRAUMATISMO DE OTROS NERVIOS A NIVEL DE LA PIERNA|
S348;TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS Y DE LOS NO|
S548;TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL ANTEBRAZO|
S448;TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO|
S948;TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL PIE Y DEL TOBILLO|
S048;TRAUMATISMO DE OTROS NERVIOS CRANEALES|
S245;TRAUMATISMO DE OTROS NERVIOS DEL TORAX|
S146;TRAUMATISMO DE OTROS NERVIOS Y DE LOS NO ESPECIFICADOS DEL CUELLO|
S368;TRAUMATISMO DE OTROS ORGANOS INTRAABDOMINALES|
S278;TRAUMATISMO DE OTROS ORGANOS INTRATORACICOS, ESPECIFICADOS|
S378;TRAUMATISMO DE OTROS ORGANOS PELVICOS|
S668;TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DE LA MUÑECA Y DE LA MANO|
S868;TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DE LA PIERNA|
S468;TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DEL HOMBRO Y DEL BRAZO|
S968;TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DEL PIE Y DEL TOBILLO|
S568;TRAUMATISMO DE OTROS TENDONES Y MUSCULOS Y DE LOS NO ESPECIFICADOS, A NIVEL DEL ANTEBRAZO|
S764;TRAUMATISMO DE OTROS TENDONES Y MUSCULOS Y LOS NO ESPECIFICADOS A NIVEL DEL MUSLO|
S758;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DE LA CADERA Y DEL MUSLO|
S658;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DE LA MUÑECA Y DE LA MANO|
S858;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DE LA PIERNA|
S358;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS|
S558;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO|
S158;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL CUELLO|
S458;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO|
S958;TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL PIE Y DEL TOBILLO|
S258;TRAUMATISMO DE OTROS VASOS SANGUINEOS DEL TORAX|
S242;TRAUMATISMO DE RAICES NERVIOSAS DE LA COLUMNA TORACICA|
S142;TRAUMATISMO DE RAIZ NERVIOSA DE COLUMNA CERVICAL|
S342;TRAUMATISMO DE RAIZ NERVIOSA DE LA COLUMNA LUMBAR Y SACRA|
S390;TRAUMATISMO DE TENDON Y DE MUSCULOS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS|
S763;TRAUMATISMO DE TENDON Y MUSCULO DEL GRUPO MUSCULAR POSTERIOR A NIVEL DEL MUSLO|
S869;TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADO A NIVEL DE LA PIERNA|
S669;TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADO, A NIVEL DE LA MUÑECA Y DE LA MANO|
S469;TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADO, A NIVEL DEL HOMBRO Y DEL BRAZO|
T115;TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO|
S16X;TRAUMATISMO DE TENDON Y MUSCULOS A NIVEL DEL CUELLO|
S290;TRAUMATISMO DE TENDON Y MUSCULOS A NIVEL DEL TORAX|
S091;TRAUMATISMO DE TENDON Y MUSCULOS DE LA CABEZA|
S862;TRAUMATISMO DE TENDON(ES) Y MUSCULO(S) DEL GRUPO MUSCULAR ANTERIOR A NIVEL DE LA PIERNA|
S863;TRAUMATISMO DE TENDON(ES) Y MUSCULO(S) DEL GRUPO MUSCULAR PERONEO A NIVEL DE LA PIERNA|
S563;TRAUMATISMO DE TENDONES Y MUSCULOS ABDUCTORES Y EXTENSORES DEL PULGAR A NIVEL DEL ANTEBRAZO|
T146;TRAUMATISMO DE TENDONES Y MUSCULOS DE REGION NO ESPECIFICADA DEL CUERPO|
T095;TRAUMATISMO DE TENDONES Y MUSCULOS DEL TRONCO NO ESPECIFICADOS|
S962;TRAUMATISMO DE TENDONES Y MUSCULOS INTRINSECOS A NIVEL DEL PIE Y DEL TOBILLO|
S969;TRAUMATISMO DE TENDONES Y MUSCULOS NO ESPECIFICADOS A NIVEL DEL PIE Y DEL TOBILLO|
T135;TRAUMATISMO DE TENDONES Y MUSCULOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO|
S759;TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DE LA CADERA Y DEL MUSLO|
S859;TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DE LA PIERNA|
S559;TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DEL ANTEBRAZO|
S459;TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DEL HOMBRO Y DEL BRAZO|
S959;TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DEL PIE Y DEL TOBILLO|
S659;TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO, A NIVEL DE LA MUÑECA Y DE LA MANO|
S655;TRAUMATISMO DE VASO(S) SANGUINEO(S) DE OTRO DEDO|
T145;TRAUMATISMO DE VASO(S) SANGUINEO(S) DE REGION NO ESPECIFICADA DEL CUERPO|
S654;TRAUMATISMO DE VASO(S) SANGUINEO(S) DEL PULGAR|
S355;TRAUMATISMO DE VASOS SANGUINEOS ILIACOS|
S255;TRAUMATISMO DE VASOS SANGUINEOS INTERCOSTALES|
S857;TRAUMATISMO DE VASOS SANGUINEOS MULTIPLES A NIVEL DE LA PIERNA|
S359;TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE L|
S159;TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS A NIVEL DEL CUELLO|
T134;TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO|
T114;TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO|
S259;TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DEL TORAX|
S254;TRAUMATISMO DE VASOS SANGUINEOS PULMONARES|
S354;TRAUMATISMO DE VASOS SANGUINEOS RENALES|
S552;TRAUMATISMO DE VENA A NIVEL DEL ANTEBRAZO|
S252;TRAUMATISMO DE VENA CAVA SUPERIOR|
S453;TRAUMATISMO DE VENA SUPERFICIAL A NIVEL DEL HOMBRO Y DEL BRAZO|
S353;TRAUMATISMO DE VENAS PORTA Y ESPLENICA|
S653;TRAUMATISMO DEL ARCO PALMAR PROFUNDO|
S652;TRAUMATISMO DEL ARCO PALMAR SUPERFICIAL|
S360;TRAUMATISMO DEL BAZO|
S365;TRAUMATISMO DEL COLON|
S260;TRAUMATISMO DEL CORAZON CON HEMOPERICARDIO|
S269;TRAUMATISMO DEL CORAZON, NO ESPECIFICADO|
S199;TRAUMATISMO DEL CUELLO, NO ESPECIFICADO|
S363;TRAUMATISMO DEL ESTOMAGO|
P132;TRAUMATISMO DEL FEMUR DURANTE EL NACIMIENTO|
S361;TRAUMATISMO DEL HIGADO Y DE LA VESICULA BILIAR|
S364;TRAUMATISMO DEL INTESTINO DELGADO|
P152;TRAUMATISMO DEL MUSCULO ESTERNOCLEIDOMASTOIDEO DURANTE EL NACIMIENTO|
S665;TRAUMATISMO DEL MUSCULO Y TENDON INTRINSECO DE OTRO(S) DEDO(S) A NIVEL DE LA MUÑECA Y DE LA MANO|
S664;TRAUMATISMO DEL MUSCULO Y TENDON INTRINSECO DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO|
P129;TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO, NO ESPECIFICADO|
P113;TRAUMATISMO DEL NACIMIENTO EN EL NERVIO FACIAL|
P119;TRAUMATISMO DEL NACIMIENTO EN EL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADO|
P115;TRAUMATISMO DEL NACIMIENTO EN LA COLUMNA VERTEBRAL Y EN LA MEDULA ESPINAL|
P138;TRAUMATISMO DEL NACIMIENTO EN OTRAS PARTES DEL ESQUELETO|
P114;TRAUMATISMO DEL NACIMIENTO EN OTROS NERVIOS CRANEALES|
S046;TRAUMATISMO DEL NERVIO ACUSTICO [VIII PAR]|
S443;TRAUMATISMO DEL NERVIO AXILAR|
S740;TRAUMATISMO DEL NERVIO CIATICO A NIVEL DE LA CADERA Y DEL MUSLO|
S640;TRAUMATISMO DEL NERVIO CUBITAL A NIVEL DE LA MUÑECA Y DE LA MANO|
S540;TRAUMATISMO DEL NERVIO CUBITAL A NIVEL DEL ANTEBRAZO|
S440;TRAUMATISMO DEL NERVIO CUBITAL A NIVEL DEL BRAZO|
S644;TRAUMATISMO DEL NERVIO DIGITAL DE OTRO DEDO|
S643;TRAUMATISMO DEL NERVIO DIGITAL DEL PULGAR|
S047;TRAUMATISMO DEL NERVIO ESPINAL [XL PAR]|
S045;TRAUMATISMO DEL NERVIO FACIAL [VII PAR]|
S741;TRAUMATISMO DEL NERVIO FEMOROCUTANEO A NIVEL DE LA CADERA Y DEL MUSLO|
S641;TRAUMATISMO DEL NERVIO MEDIANO A NIVEL DE LA MUÑECA Y DE LA MANO|
S541;TRAUMATISMO DEL NERVIO MEDIANO A NIVEL DEL ANTEBRAZO|
S441;TRAUMATISMO DEL NERVIO MEDIANO A NIVEL DEL BRAZO|
S041;TRAUMATISMO DEL NERVIO MOTOR OCULAR COMUN [III PAR]|
S044;TRAUMATISMO DEL NERVIO MOTOR OCULAR EXTERNO [VI PAR]|
S444;TRAUMATISMO DEL NERVIO MUSCULOCUTANEO|
S040;TRAUMATISMO DEL NERVIO OPTICO [II PAR] Y DE LAS VIAS OPTICAS|
S042;TRAUMATISMO DEL NERVIO PATETICO [IV PAR]|
S942;TRAUMATISMO DEL NERVIO PERONEAL PROFUNDO A NIVEL DEL PIE Y DEL TOBILLO|
S841;TRAUMATISMO DEL NERVIO PERONEO A NIVEL DE LA PIERNA|
S940;TRAUMATISMO DEL NERVIO PLANTAR EXTERNO|
S941;TRAUMATISMO DEL NERVIO PLANTAR INTERNO|
S642;TRAUMATISMO DEL NERVIO RADIAL A NIVEL DE LA MUÑECA Y DE LA MANO|
S542;TRAUMATISMO DEL NERVIO RADIAL A NIVEL DEL ANTEBRAZO|
S442;TRAUMATISMO DEL NERVIO RADIAL A NIVEL DEL BRAZO|
S445;TRAUMATISMO DEL NERVIO SENSITIVO CUTANEO A NIVEL DEL HOMBRO Y DEL BRAZO|
S742;TRAUMATISMO DEL NERVIO SENSORIAL CUTANEO A NIVEL DE LA CADERA Y DEL MUSLO|
S842;TRAUMATISMO DEL NERVIO SENSORIAL CUTANEO A NIVEL DE LA PIERNA|
S543;TRAUMATISMO DEL NERVIO SENSORIAL CUTANEO A NIVEL DEL ANTEBRAZO|
S840;TRAUMATISMO DEL NERVIO TIBIAL A NIVEL DE LA PIERNA|
S043;TRAUMATISMO DEL NERVIO TRIGEMINO [V PAR]|
S059;TRAUMATISMO DEL OJO Y DE LA ORBITA, NO ESPECIFICADO|
S374;TRAUMATISMO DEL OVARIO|
S362;TRAUMATISMO DEL PANCREAS|
S999;TRAUMATISMO DEL PIE Y DEL TOBILLO, NO ESPECIFICADO|
S143;TRAUMATISMO DEL PLEXO BRAQUIAL|
S344;TRAUMATISMO DEL PLEXO LUMBOSACRO|
S366;TRAUMATISMO DEL RECTO|
S370;TRAUMATISMO DEL RIÑON|
S860;TRAUMATISMO DEL TENDON DE AQUILES|
S460;TRAUMATISMO DEL TENDON DEL MANGUITO ROTATORIO DEL HOMBRO|
S762;TRAUMATISMO DEL TENDON Y MUSCULO ADUCTOR MAYOR DEL MUSLO|
S761;TRAUMATISMO DEL TENDON Y MUSCULO CUADRICEPS|
S461;TRAUMATISMO DEL TENDON Y MUSCULO DE LA CABEZA LARGA DEL BICEPS|
S760;TRAUMATISMO DEL TENDON Y MUSCULO DE LA CADERA|
S462;TRAUMATISMO DEL TENDON Y MUSCULO DE OTRAS PARTES DEL BICEPS|
S961;TRAUMATISMO DEL TENDON Y MUSCULO DEL EXTENSOR LARGO DEL (DE LOS) DEDO(S) A NIVEL DEL PIE Y DEL TOBIL|
S960;TRAUMATISMO DEL TENDON Y MUSCULO DEL FLEXOR LARGO DEL DEDO A NIVEL DEL PIE Y DEL TOBILLO|
S463;TRAUMATISMO DEL TENDON Y MUSCULO DEL TRICEPS|
S663;TRAUMATISMO DEL TENDON Y MUSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DE LA MUÑECA Y DE LA MANO|
S564;TRAUMATISMO DEL TENDON Y MUSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DEL ANTEBRAZO|
S662;TRAUMATISMO DEL TENDON Y MUSCULO EXTENSOR DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO|
S661;TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DE OTRO DEDO A NIVEL DE LA MUÑECA Y DE LA MANO|
S561;TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DE OTRO(S) DEDO(S) A NIVEL DEL ANTEBRAZO|
S560;TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DEL PULGAR A NIVEL DEL ANTEBRAZO|
S660;TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR LARGO DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO|
S299;TRAUMATISMO DEL TORAX, NO ESPECIFICADO|
S371;TRAUMATISMO DEL URETER|
S376;TRAUMATISMO DEL UTERO|
P148;TRAUMATISMO DURANTE EL NACIMIENTO EN OTRAS PARTES DEL SISTEMA NERVIOSO PERIFERICO|
P124;TRAUMATISMO EN EL CUERO CABELLUDO DEL RECIEN NACIDO POR MONITOREO FETAL|
P154;TRAUMATISMO FACIAL DURANTE EL NACIMIENTO|
S067;TRAUMATISMO INTRACRANEAL CON COMA PROLONGADO|
S069;TRAUMATISMO INTRACRANEAL, NO ESPECIFICADO|
S799;TRAUMATISMO NO ESPECIFICADO DE LA CADERA Y DEL MUSLO|
S699;TRAUMATISMO NO ESPECIFICADO DE LA MUÑECA Y DE LA MANO|
T139;TRAUMATISMO NO ESPECIFICADO DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO|
T119;TRAUMATISMO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO|
S399;TRAUMATISMO NO ESPECIFICADO DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS|
S599;TRAUMATISMO NO ESPECIFICADO DEL ANTEBRAZO|
P139;TRAUMATISMO NO ESPECIFICADO DEL ESQUELETO DURANTE EL NACIMIENTO|
P149;TRAUMATISMO NO ESPECIFICADO DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO|
T099;TRAUMATISMO NO ESPECIFICADO DEL TRONCO, NIVEL NO ESPECIFICADO|
P159;TRAUMATISMO NO ESPECIFICADO, DURANTE EL NACIMIENTO|
O716;TRAUMATISMO OBSTETRICO DE LOS LIGAMENTOS Y ARTICULACIONES DE LA PELVIS|
P153;TRAUMATISMO OCULAR DURANTE EL NACIMIENTO|
S971;TRAUMATISMO POR APLASTAMIENTO DE DEDO(S) DEL PIE|
S079;TRAUMATISMO POR APLASTAMIENTO DE LA CABEZA, PARTE NO ESPECIFICADA|
S770;TRAUMATISMO POR APLASTAMIENTO DE LA CADERA|
S772;TRAUMATISMO POR APLASTAMIENTO DE LA CADERA CON EL MUSLO|
S070;TRAUMATISMO POR APLASTAMIENTO DE LA CARA|
S170;TRAUMATISMO POR APLASTAMIENTO DE LA LARINGE Y DE LA TRAQUEA|
S870;TRAUMATISMO POR APLASTAMIENTO DE LA RODILLA|
S380;TRAUMATISMO POR APLASTAMIENTO DE ORGANOS GENITALES EXTERNOS|
S078;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES DE LA CABEZA|
S578;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES DEL ANTEBRAZO|
S178;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES DEL CUELLO|
S978;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES DEL PIE Y DEL TOBILLO|
S678;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO|
S878;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA PIERNA|
S381;TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL ABDOMEN, DE LA REGION LU|
S579;TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO, PARTE NO ESPECIFICADA|
S570;TRAUMATISMO POR APLASTAMIENTO DEL CODO|
S071;TRAUMATISMO POR APLASTAMIENTO DEL CRANEO|
S179;TRAUMATISMO POR APLASTAMIENTO DEL CUELLO, PARTE NO ESPECIFICADA|
S47X;TRAUMATISMO POR APLASTAMIENTO DEL HOMBRO Y DEL BRAZO|
S771;TRAUMATISMO POR APLASTAMIENTO DEL MUSLO|
S670;TRAUMATISMO POR APLASTAMIENTO DEL PULGAR Y OTRO(S) DEDO(S)|
S970;TRAUMATISMO POR APLASTAMIENTO DEL TOBILLO|
T147;TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMATICA DE REGIONES NO ESPECIFICADAS DEL CUERPO|
S009;TRAUMATISMO SUPERFICIAL DE LA CABEZA, PARTE NO ESPECIFICADA|
S709;TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO, NO ESPECIFICADO|
S609;TRAUMATISMO SUPERFICIAL DE LA MUÑECA Y DE LA MANO, NO ESPECIFICADO|
S003;TRAUMATISMO SUPERFICIAL DE LA NARIZ|
S809;TRAUMATISMO SUPERFICIAL DE LA PIERNA, NO ESPECIFICADO|
T130;TRAUMATISMO SUPERFICIAL DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO|
T110;TRAUMATISMO SUPERFICIAL DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO|
S008;TRAUMATISMO SUPERFICIAL DE OTRAS PARTES DE LA CABEZA|
S108;TRAUMATISMO SUPERFICIAL DE OTRAS PARTES DEL CUELLO|
S208;TRAUMATISMO SUPERFICIAL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL TORAX|
T140;TRAUMATISMO SUPERFICIAL DE REGION NO ESPECIFICADA DEL CUERPO|
S309;TRAUMATISMO SUPERFICIAL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS, PARTE NO ESPECIFICADA|
S509;TRAUMATISMO SUPERFICIAL DEL ANTEBRAZO, NO ESPECIFICADO|
S109;TRAUMATISMO SUPERFICIAL DEL CUELLO, PARTE NO ESPECIFICADA|
S000;TRAUMATISMO SUPERFICIAL DEL CUERO CABELLUDO|
S005;TRAUMATISMO SUPERFICIAL DEL LABIO Y DE LA CAVIDAD BUCAL|
